Item_Code,full_picks_qty
61166,120
61168,0
61169,0
61200,144
61201,12
61202,48
61274,0
61287,16
61288,60
61291,72
61298,0
61300,0
61301,0
61313,0
61314,0
61315,0
61316,96
61321,0
61323,6
61324,324
61325,0
61326,344
61328,240
61369,32
61370,0
61371,48
61372,0
61373,0
61374,0
61376,0
61379,272
61381,144
61382,272
61386,0
61389,12
61404,0
61405,80
61410,0
61411,0
61435,72
61436,42
61437,28
61438,0
61439,128
61440,0
61442,0
61443,0
61445,0
61511,0
61512,0
61513,0
61514,0
61515,0
61517,216
61518,330
61519,108
61520,108
61522,0
61523,0
61524,0
61526,0
61528,168
61529,306
61530,108
61531,108
61532,64
61533,0
61534,0
61536,207
61537,222
61538,0
61539,224
61540,0
61541,0
61543,339
61544,327
61545,0
61546,104
61547,0
61548,0
61549,0
61550,531
61551,459
61552,0
61621,0
61628,0
61629,0
61630,0
61631,0
61632,0
61633,0
61635,0
61636,0
61637,60
61638,96
61639,144
61653,0
61654,0
61656,0
61658,0
61659,0
61660,0
61661,0
61662,0
61663,0
61664,0
61665,0
61666,0
61667,0
61668,0
61675,256
61676,200
61677,0
61678,8
61708,0
61710,0
61711,0
61713,0
61714,0
61715,0
61720,0
61721,0
61726,0
61730,272
61731,0
61992,156
62010,0
62011,0
62012,0
62013,0
62014,0
62015,0
62016,576
62017,0
62018,0
62020,112
62021,24
62022,102
62023,228
62024,0
62025,0
62026,72
62046,216
62047,96
62074,786
62097,144
62098,384
62099,180
62100,162
62101,234
80121,0
896049,408
896061/02,192
896140,744
896141,828
896151,12
