Item_Code,full_picks_qty,unit_picks_qty
61166,120,516
61168,0,276
61169,0,60
61200,144,156
61201,12,364
61202,48,300
61274,0,36
61287,16,16
61288,60,18
61291,72,24
61298,0,246
61300,0,159
61301,0,36
61313,0,220
61314,0,144
61315,0,44
61316,96,500
61321,0,52
61323,6,44
61324,324,32
61325,0,436
61326,344,90
61328,240,72
61369,32,254
61370,0,458
61371,48,254
61372,0,128
61373,0,548
61374,0,70
61376,0,192
61379,272,180
61381,144,214
61382,272,350
61386,0,84
61389,12,84
61404,0,28
61405,80,28
61410,0,192
61411,0,102
61435,72,22
61436,42,20
61437,28,0
61438,0,44
61439,128,42
61440,0,168
61442,0,212
61443,0,10
61445,0,32
61511,0,100
61512,0,72
61513,0,260
61514,0,198
61515,0,78
61517,216,51
61518,330,27
61519,108,99
61520,108,36
61522,0,132
61523,0,36
61524,0,192
61526,0,108
61528,168,21
61529,306,36
61530,108,42
61531,108,48
61532,64,76
61533,0,204
61534,0,184
61536,207,0
61537,222,0
61538,0,318
61539,224,116
61540,0,356
61541,0,268
61543,339,0
61544,327,0
61545,0,582
61546,104,272
61547,0,560
61548,0,424
61549,0,256
61550,531,0
61551,459,0
61552,0,666
61621,0,408
61628,0,136
61629,0,196
61630,0,204
61631,0,124
61632,0,140
61633,0,124
61635,0,180
61636,0,93
61637,60,156
61638,96,42
61639,144,153
61653,0,44
61654,0,160
61656,0,24
61658,0,117
61659,0,153
61660,0,84
61661,0,108
61662,0,219
61663,0,42
61664,0,156
61665,0,18
61666,0,228
61667,0,174
61668,0,87
61675,256,70
61676,200,84
61677,0,108
61678,8,104
61708,0,174
61710,0,108
61711,0,12
61713,0,75
61714,0,116
61715,0,36
61720,0,44
61721,0,276
61726,0,300
61730,272,0
61731,0,196
61992,156,150
62010,0,368
62011,0,352
62012,0,376
62013,0,348
62014,0,360
62015,0,324
62016,576,1128
62017,0,220
62018,0,504
62020,112,172
62021,24,0
62022,102,0
62023,228,108
62024,0,444
62025,0,150
62026,72,148
62046,216,28
62047,96,60
62074,786,0
62097,144,261
62098,384,75
62099,180,300
62100,162,243
62101,234,231
80121,0,300
896049,408,0
896061/02,192,0
896140,744,0
896141,828,0
896151,12,0
